fuel rate,moisture,co efficiency,hot blast temp,slag rate,flame temp,top pressure
573,4,46.2,1140,453,2195.3,2.24
568.6,4,46.35105846,1162.79,510,2253.9,2.26
576.6,4,45.25,1170,514,2248.2,2.33
556.6,4,46.19343022,1152,492,2188.7,2.36
593.4,4,43.62,1111.79,492,2219.9,2.45
557.8,4.1,46.5,1143.71,477,2257.2,2.28
593.3,4.1,45.78,1171,507,2309.9,2.36
555.3,4.1,47.49,1110.71,498,2217,2.47
593.8,4.2,45.77,1180.88,512,2215.6,2.29
560.1,4.3,52.29151021,1154.69,495,2183.3,2.22
590.5,4.3,46.6,1181.79,519,2236.2,2.32
568.1,4.3,45.61,1183.92,496,2068.8,2.35
567.2,4.3,45.24,1182.75,528,2278.5,2.42
605,4.3,45.84,1178.38,521,2121.6,2.44
579,4.3,46.93,1163.96,521,2239.5,2.49
586.1,4.4,47.92,1190.38,490,2267.8,2.35
572.8,4.4,48.83,1157.46,515,2189.3,2.42
581.2,4.4,47.03,1191.71,523,2116,2.42
556.8,4.4,46.37,1130.63,503,2173.7,2.48
550.7,4.5,46.26,1120.25,487,2229.2,2.31
587,4.5,45.6,1181.08,560,2149.3,2.32
563.5,4.6,46.36,1182.88,519,2202.8,2.41
588.3,4.8,45.85,1183.5,419,2272.8,2.36
578.1,4.9,45.48,1177.75,520,2167.6,2.29
596.2,4.9,50.86,1094,452,2127.8,2.31
570.8,4.9,44.05,1173,515,2236,2.33
589.9,4.9,45.45,1184.83,505,2082.4,2.34
586.4,4.9,44.93,1190.13,538,1987,2.35
548.4,4.9,43.51,1178,517,2286.6,2.36
595.3,4.9,44.6,1185,500,2204.7,2.44
569.5,5,46.68,1182.5,537,2327.8,2.19
559.1,5,44.1,1158,512,2242,2.26
568.3,5,47.67,1123,487,2149.9,2.3
575.4,5,46.99570107,1162.71,513,2329.7,2.31
578.9,5,43.45,1177,515,2325.4,2.34
585.9,5,44.86,1161.88,528,2238.9,2.35
582.9,5,46.54,1180.88,511,2191.3,2.36
577.4,5,47.07,1154.71,503,2172.8,2.39
573.3,5,45.5,1177,520,2145.8,2.4
581.9,5,46.95,1136.67,491,2163.8,2.42
