fuel_rate,moisture,co_efficiency,hot_blast_temp,slag_rate,flame_temp,top_pressure
568.6,4.0,46.35105846,1162.79,510,2253.9,2.26
576.6,4.0,45.25,1170.0,514,2248.2,2.33
556.6,4.0,46.19343022,1152.0,492,2188.7,2.36
593.4,4.0,43.62,1111.79,492,2219.9,2.45
557.8,4.1,46.5,1143.71,477,2257.2,2.28
593.3,4.1,45.78,1171.0,507,2309.9,2.36
555.3,4.1,47.49,1110.71,498,2217.0,2.47
593.8,4.2,45.77,1180.88,512,2215.6,2.29
590.5,4.3,46.6,1181.79,519,2236.2,2.32
568.1,4.3,45.61,1183.92,496,2068.8,2.35
567.2,4.3,45.24,1182.75,528,2278.5,2.42
605.0,4.3,45.84,1178.38,521,2121.6,2.44
579.0,4.3,46.93,1163.96,521,2239.5,2.49
586.1,4.4,47.92,1190.38,490,2267.8,2.35
581.2,4.4,47.03,1191.71,523,2116.0,2.42
556.8,4.4,46.37,1130.63,503,2173.7,2.48
550.7,4.5,46.26,1120.25,487,2229.2,2.31
563.5,4.6,46.36,1182.88,519,2202.8,2.41
578.1,4.9,45.48,1177.75,520,2167.6,2.29
570.8,4.9,44.05,1173.0,515,2236.0,2.33
589.9,4.9,45.45,1184.83,505,2082.4,2.34
595.3,4.9,44.6,1185.0,500,2204.7,2.44
559.1,5.0,44.1,1158.0,512,2242.0,2.26
568.3,5.0,47.67,1123.0,487,2149.9,2.3
585.9,5.0,44.86,1161.88,528,2238.9,2.35
582.9,5.0,46.54,1180.88,511,2191.3,2.36
577.4,5.0,47.07,1154.71,503,2172.8,2.39
573.3,5.0,45.5,1177.0,520,2145.8,2.4
581.9,5.0,46.95,1136.67,491,2163.8,2.42
570.9,5.1,45.11,1155.29,504,2287.2,2.38
591.5,5.1,46.39,1182.75,531,2173.5,2.38
592.4,5.2,45.45,1180.54,510,2269.1,2.29
569.8,5.2,46.44,1101.0,492,2083.9,2.3
579.6,5.2,46.08,1182.42,498,2277.7,2.32
583.9,5.2,46.95,1152.79,521,2162.1,2.37
585.9,5.4,47.32,1167.96,505,2161.3,2.49
573.4,5.5,46.65,1181.71,507,2208.6,2.26
598.0,5.5,46.9,1155.29,528,2206.7,2.38
605.2,5.6,45.99,1179.67,516,2122.3,2.33
592.4,5.6,45.95,1183.71,534,2100.8,2.39
581.2,5.7,46.37,1164.54,540,2076.4,2.46
568.8,5.9,48.32477414,1104.54,484,2152.0,2.41
576.8,5.9,45.92,1178.0,529,2281.3,2.41
551.5,6.0,46.1,1100.54,494,2183.6,2.26
555.2,6.0,47.85,1110.79,504,2238.6,2.27
565.8,6.0,46.09,1178.29,496,2185.4,2.31
560.9,6.0,47.25,1176.08,506,2299.4,2.37
553.0,6.0,44.66477484,1148.5,503,2195.8,2.38
587.5,6.0,44.77,1162.08,519,2224.6,2.38
565.9,6.0,47.13,1177.38,522,2119.4,2.41
574.6,6.0,47.69,1110.83,502,2194.8,2.42
581.4,6.0,48.21688208,1162.38,509,2298.9,2.42
555.9,6.1,45.8,1176.0,503,2219.9,2.27
571.7,6.1,45.09,1150.54,505,2296.5,2.36
567.8,6.1,47.28,1183.0,511,2125.8,2.4
557.0,6.1,46.58,1100.04,496,2096.2,2.41
581.1,6.1,47.11,1162.29,529,2262.4,2.41
573.8,6.1,48.07580636,1119.17,508,2229.2,2.44
584.0,6.2,45.87,1159.0,499,2140.7,2.41
578.6,6.3,45.02,1176.0,506,2216.8,2.32
601.8,6.3,46.21161609,1162.67,510,2275.3,2.32
571.7,6.4,45.79450341,1162.92,518,2258.9,2.41
573.1,6.4,46.43,1184.75,511,2119.8,2.42
579.9,6.4,44.99,1181.88,492,2170.4,2.44
559.2,6.5,44.64,1139.92,495,2131.8,2.31
575.8,6.5,47.49,1182.04,510,2133.9,2.37
599.2,6.6,43.83,1138.38,505,2254.1,2.36
561.1,6.6,45.19,1185.25,505,2166.8,2.4
599.6,6.6,47.76,1151.58,512,2173.8,2.43
573.0,6.7,47.03,1133.08,524,2217.2,2.41
568.6,6.8,44.97,1180.0,538,2188.8,2.26
561.0,6.8,44.59,1142.33,503,2161.8,2.31
596.0,7.0,45.16,1156.5,529,2156.3,2.28
585.0,7.0,47.6,1181.29,536,2179.4,2.32
576.9,7.0,48.19437556,1162.33,510,2254.8,2.35
573.0,7.0,47.24,1162.58,521,2173.2,2.37
577.1,7.0,46.89,1167.21,504,2172.5,2.39
577.8,7.0,46.57330036,1135.5,485,2147.4,2.39
558.0,7.0,47.42,1160.5,536,2146.9,2.4
570.4,7.0,46.32375465,1158.88,493,2183.9,2.41
574.0,7.1,47.48,1183.33,487,2196.4,2.4
596.0,7.2,46.65,1163.75,496,2308.5,2.31
596.0,7.2,44.09,1109.71,504,2219.3,2.36
568.3,7.2,46.1,1146.21,496,2163.8,2.46
584.9,7.3,45.29,1112.46,506,2254.8,2.37
559.8,7.4,44.81,1131.08,504,2167.7,2.42
558.8,7.5,44.04,1162.08,510,2167.9,2.33
575.7,7.5,45.15,1150.42,514,2255.7,2.36
584.6,7.5,47.05,1153.46,514,2065.2,2.43
560.5,7.6,47.19,1177.38,516,2222.3,2.31
583.8,7.6,45.34,1142.46,484,2158.9,2.32
554.8,7.6,48.36341427,1141.54,495,2199.1,2.36
554.1,7.6,44.52,1099.67,496,2148.7,2.4
567.6,7.6,45.87977508,1159.63,493,2139.5,2.42
564.4,7.7,44.28,1151.71,505,2177.2,2.33
575.4,7.7,47.98,1171.04,535,2155.4,2.35
562.1,7.8,45.51,1141.79,505,2112.0,2.31
579.3,7.8,46.3,1151.67,504,2083.6,2.39
561.9,7.8,45.47,1139.92,497,2176.8,2.43
552.3,7.9,46.03,1140.96,491,2120.8,2.23
584.4,7.9,46.22,1161.42,514,2235.5,2.26
602.1,7.9,46.76,1176.88,504,2098.6,2.28
549.9,7.9,46.80477851,1157.33,494,2230.5,2.31
558.5,7.9,44.98,1145.52,522,2135.0,2.33
555.8,7.9,46.71949945,1155.71,495,2154.0,2.38
551.3,7.9,46.58,1111.54,492,2075.2,2.41
592.5,7.9,45.29,1178.0,505,2226.1,2.45
576.1,8.0,46.65511495,1162.58,515,2168.5,2.29
552.8,8.0,46.1,1120.38,479,2197.7,2.32
579.9,8.0,45.76,1178.0,481,2226.5,2.32
551.9,8.0,45.00265545,1145.54,497,2174.4,2.33
564.4,8.0,45.92,1153.0,509,2141.3,2.33
579.6,8.0,44.34,1151.46,502,2195.7,2.33
596.3,8.0,46.71422802,1160.0,522,2204.8,2.34
585.1,8.0,44.9,1162.13,527,2213.9,2.35
542.7,8.0,45.85,1110.96,470,2206.6,2.37
561.5,8.0,44.8,1114.9,493,2165.3,2.4
553.7,8.0,46.16,1150.04,502,2222.6,2.41
551.1,8.0,45.12,1107.17,494,2168.7,2.44
555.4,8.0,46.76,1110.79,505,2120.4,2.45
560.6,8.0,46.38459054,1160.67,495,2200.4,2.46
567.5,8.1,45.35,1134.92,499,2159.7,2.29
566.9,8.1,44.72,1178.05,530,2212.4,2.36
563.4,8.1,45.21,1121.54,504,2169.8,2.37
543.4,8.1,46.92,1092.13,473,2121.0,2.4
563.3,8.1,46.13398658,1162.96,528,2239.4,2.43
566.4,8.2,45.12,1151.29,511,2135.5,2.35
562.4,8.2,47.83,1183.54,517,2155.2,2.36
568.5,8.3,45.79,1161.83,528,2144.6,2.29
557.6,8.3,47.98,1111.67,503,2156.0,2.36
564.3,8.3,47.39,1162.75,523,2073.2,2.36
569.2,8.3,46.1,1127.71,510,2176.2,2.37
557.1,8.3,45.09,1150.83,505,2310.8,2.38
575.5,8.3,46.75,1162.42,519,2118.4,2.38
544.8,8.4,45.2,1178.0,493,2220.2,2.38
557.4,8.5,46.73,1141.25,488,2215.6,2.34
582.6,8.5,47.69,1162.38,515,2163.3,2.49
583.2,8.6,46.38,1114.0,508,2081.3,2.24
